Dự án/ khu,Số,Ngõ,Đường/Phố,Xã/ Phường/ Thị trấn,Quận/Huyện,Diện tích(m2),Giá (tỷ đồng),Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet
Home City - Trung Kính Complex,,,Trung Kính,Yên Hòa,Cầu Giấy,69,3.3,Tây - Nam,Đông - Bắc,2,
M3 - M4 Nguyễn Chí Thanh,,,Nguyễn Chí Thanh,Láng Hạ,Đống Đa,96,4.15,Đông - Nam,Tây - Bắc,2,2
Feliz Homes,,,,Hoàng Văn Thụ,Hoàng Mai,77,2.7,Bắc,Nam,2,
Home City - Trung Kính Complex,,,Trung Kính,Yên Hòa,Cầu Giấy,71,3.3,,,2,2
Eco City Việt Hưng,,,,Giang Biên,Long Biên,72,2.25,Đông - Nam,Tây - Bắc,2,2
Home City - Trung Kính Complex,,,Trung Kính,Yên Hòa,Cầu Giấy,70,3.2,,,2,2
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,31,0.89,,,1,1
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,70,1.8,,,2,2
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,80,2.3,,,3,2
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,47,1.2,,,1,1
Vinhomes Ocean Park Gia Lâm,,,5,Dương Xá,Gia Lâm,60,1.47,,,2,1
Đại Thanh,,,,Tả Thanh Oai,Thanh Trì,45.5,1,Tây - Bắc,Đông - Nam,1,1
Riverside Garden,349,,Vũ Tông Phan,Khương Đình,Thanh Xuân,85,3.6,,,3,2
Imperia Garden,,,Nguyễn Huy Tưởng,Thanh Xuân Trung,Thanh Xuân,131,5.6,Đông - Nam,,4,2
Ngõ 629,,,Giải Phóng,Giáp Bát,Hoàng Mai,50,1.4,,,2,1
Vinhomes Smart City ,,,,Tây Mỗ,Nam Từ Liêm,54,2.18,,,2,2
Tây Hồ River View,,,Thượng Thụy,Phú Thượng,Tây Hồ,74.8,2.68,Tây - Nam,Đông - Bắc,2,2
N02-T1 Ngoại Giao Đoàn,,,,Xuân Đỉnh,Bắc Từ Liêm,90,3.9,Nam,Bắc,3,2
Ngõ 151,,,Thái Hà,Trung Liệt,Đống Đa,60,1.51,,Đông - Bắc,3,2
Hapulico Complex,,,Nguyễn Huy Tưởng,Thanh Xuân Trung,Thanh Xuân,128,4.35,Tây - Bắc,,3,2
Chung cư Ban cơ yếu Chính phủ,,,Lê Văn Lương,Nhân Chính,Thanh Xuân,124,4.46,Đông - Nam,Tây - Bắc,3,2
GoldSeason,,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,90,3.5,,,3,2
Trung Hòa Nhân Chính,,,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,117,3.86,,,3,2
Riverside Garden,349,,Vũ Tông Phan,Khương Đình,Thanh Xuân,75,3.15,,,2,
Việt Hưng,,,,Đức Giang,Long Biên,75,1.6,Đông - Bắc,Tây - Nam,2,2
Việt Hưng,,,,Đức Giang,Long Biên,75,1.55,Tây - Bắc,Đông - Nam,2,2
Times City,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,53,2.8,,,1,1
Vinhomes Smart City ,,,,Tây Mỗ,Nam Từ Liêm,75.6,3.05,,,3,
Việt Hưng,,,,Đức Giang,Long Biên,75,1.5,Đông - Bắc,Tây - Nam,2,1
Thăng Long Number One,,,,Trung Hòa,Cầu Giấy,117,4.45,Tây - Bắc,Đông - Nam,3,2
Hateco Apollo,,,70,Phương Canh,Nam Từ Liêm,58,2.25,Tây - Bắc,Đông - Nam,2,1
HPC Landmark 105,,,,,Hà Đông,133,3.7,Tây - Bắc,Đông - Nam,3,2
Sudico Mỹ Đình,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,105,4,Đông - Bắc,Đông - Nam,3,
310 Minh Khai,,,Tam Trinh,Minh Khai,Hai Bà Trưng,60,1.87,,Đông - Nam,2,
Home City - Trung Kính Complex,,,Trung Kính,Yên Hòa,Cầu Giấy,100,5.45,Đông,,3,2
KĐT Tây Hồ Tây - Starlake Hà Nội,,,,Xuân La,Tây Hồ,154,18,,,3,2
Hyundai Hillstate,,,Tô Hiệu,Hà Cầu,Hà Đông,136,4.7,,,3,2
The Park Home,,,Thành Thái,Dịch Vọng,Cầu Giấy,171,10.05,Tây - Bắc,Đông - Nam,4,2
KĐT Tây Hồ Tây - Starlake Hà Nội,,,,Xuân La,Tây Hồ,96,7.2,,,2,
KĐT Tây Hồ Tây - Starlake Hà Nội,,,,Xuân La,Tây Hồ,113,10.7,Đông - Bắc,,3,
KĐT Tây Hồ Tây - Starlake Hà Nội,,,,Xuân La,Tây Hồ,113,10.8,,,2,
Mipec City View,,,,,Hà Đông,45,1.3,Tây - Nam,Đông - Bắc,2,1
Vườn Đào,,,Lạc Long Quân,Phú Thượng,Tây Hồ,125,4.1,Tây - Nam,Đông - Bắc,3,2
Bohemia Residence,,,Nguyễn Huy Tưởng,Thanh Xuân Trung,Thanh Xuân,85.5,4.15,,,2,
Bamboo Airways Tower,265,,Cầu Giấy,Dịch Vọng,Cầu Giấy,114.5,5.4,,,3,
Vinhomes Green Bay Mễ Trì,,,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,64,2.8,,Nam,2,1
Xuân Mai Sparks Tower,,,Tố Hữu,Dương Nội,Hà Đông,71,1.7,,,2,2
KĐT Tây Hồ Tây - Starlake Hà Nội,,,,Xuân La,Tây Hồ,113,10.8,,,3,
N01-T8 Ngoại Giao Đoàn,,,,Xuân Tảo,Bắc Từ Liêm,121,7.6,Nam,Bắc,3,2
Xuân Mai Complex,,,,,Hà Đông,52,1.42,,,2,1
The Pride,,,Tố Hữu,La Khê,Hà Đông,94.1,2.6,Tây - Nam,Đông - Nam,3,2
Mandarin Garden,,,Hoàng Minh Giám,Trung Hòa,Cầu Giấy,127.7,6.5,,,2,
PentStudio,699,,Lạc Long Quân,Phú Thượng,Tây Hồ,76,6.9,Tây - Bắc,Đông - Nam,1,2
Chelsea Park,,,Trung Kính,Yên Hòa,Cầu Giấy,100,4.2,Tây - Bắc,Đông - Nam,2,2
Khu Ngoại Giao Đoàn,,,Xuân Đỉnh,Xuân Đỉnh,Bắc Từ Liêm,130,4.6,,,3,
Ngõ 81,,,Trần Cung,Nghĩa Tân,Cầu Giấy,60,1.38,,,,
Grand Sunlake,135,,Trần Phú,Văn Quán,Hà Đông,91,3.999,Tây - Bắc,Đông - Nam,2,2
Golden Land,275,,Nguyễn Trãi,Thanh Xuân Trung,Thanh Xuân,108,3.7,Tây - Nam,Đông - Bắc,3,2
Xuân Mai Complex,,,Tố Hữu,Yên Nghĩa,Hà Đông,62,1.83,Tây - Bắc,Đông - Nam,2,2
Pháp Vân Tứ Hiệp,,,Pháp Vân,Hoàng Liệt,Hoàng Mai,124,2.99,Tây - Bắc,Đông - Bắc,3,2
Kim Văn Kim Lũ,,,Nguyễn Xiển,Đại Kim,Hoàng Mai,88,2.88,Đông - Nam,Tây - Bắc,3,2
Vinhomes Symphony Riverside,,,,Việt Hưng,Long Biên,61,3.3,Đông - Nam,Tây - Bắc,2,
Eco Lake View,,,Đại Từ,Đại Kim,Hoàng Mai,78,2,,,,
The Zei Mỹ Đình,8,,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,100,5.2,Đông - Bắc,Tây - Nam,3,2
King Palace,,,Nguyễn Trãi,Thượng Đình,Thanh Xuân,125,6.3,Bắc,Đông - Bắc,3,2
The Zei Mỹ Đình,,,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,185,12.4,Đông - Bắc,Tây - Nam,4,4
The Zei Mỹ Đình,8,,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,104,5.6,Đông - Bắc,Tây - Nam,3,2
Ecolife Tây Hồ,,,,Xuân La,Tây Hồ,95,4,,,,
Oriental Westlake,174,,Lạc Long Quân,Bưởi,Tây Hồ,80,4.1,,,2,
Eco Lake View,,,Đại Từ,Đại Kim,Hoàng Mai,55,1.9,Tây - Nam,Đông - Bắc,2,2
Eco Lake View,,,Đại Từ,Đại Kim,Hoàng Mai,70,2.5,,,2,2
ĐTM Dịch Vọng,,,Thành Thái,Dịch Vọng,Cầu Giấy,118,4.4,,,3,
Tòa Tháp Thiên Niên Kỷ,,,Quang Trung,Yết Kiêu,Hà Đông,83,3.3,Đông - Nam,Tây - Nam,2,2
The Park Home ,,,,,Cầu Giấy,82,4.5,Đông - Nam,Đông - Bắc,2,2
Green Park Trần Thủ Độ,,,Trần Thủ Độ,Hoàng Liệt,Hoàng Mai,54,1.8,,,2,2
Nhà ở xã hội Him Lam Thượng Thanh,,,,Thượng Thanh,Long Biên,66,1.12,Đông - Nam,Đông - Nam,2,2
Bea Sky,,,,Đại Kim,Hoàng Mai,70,2.5,,,2,2
101 Láng Hạ,,,Láng Hạ,Láng Hạ,Đống Đa,162,5.8,,,3,
,,,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,68,1.95,Đông - Bắc,Tây - Nam,2,2
A10-A14 Nam Trung Yên,,,,Yên Hòa,Cầu Giấy,56,2.05,,,2,
M3 - M4 Nguyễn Chí Thanh,,,Nguyễn Chí Thanh,Láng Hạ,Đống Đa,110,4,,,3,2
Hà Nội Center Point,,,Hoàng Đạo Thúy,Nhân Chính,Thanh Xuân,69,3.5,Tây - Bắc,Đông - Nam,2,2
The Garden Hills - 99 Trần Bình,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,68,2.6,,Tây - Bắc,2,2
Sudico Mỹ Đình,,,Trần Văn Lai,Mỹ Đình 1,Nam Từ Liêm,110,4.05,,,3,
Thanh Bình Garden,3,,Nguyễn Cảnh Dị,Định Công,Hoàng Mai,60,2.5,Tây - Bắc,Đông - Nam,2,1
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,47,1.25,,,1,1
Ecohome Phúc Lợi,,,Phúc Lợi,Phúc Lợi,Long Biên,72,1.98,Đông - Nam,Tây - Bắc,2,2
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,80,2.29,,,3,2
HC Golden City,,,,Bồ Đề,Long Biên,87,4.09,,,3,2
Times City - Park Hill,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,85,4.4,Nam,Bắc,2,2
D22 Bộ Tư Lệnh Biên Phòng,62,,Trần Bình,Mai Dịch,Cầu Giấy,75,2.25,Tây - Bắc,Nam,2,2
The Golden Armor,,,Nam Cao,Giảng Võ,Ba Đình,75,5.7,Tây - Bắc,Đông - Nam,2,2
Vinhomes Symphony Riverside,,,,Việt Hưng,Long Biên,68,2.6,Đông - Nam,Tây - Bắc,2,
Golden Land,275,,Nguyễn Trãi,Thanh Xuân Trung,Thanh Xuân,94,3.8,Đông - Nam,Tây - Bắc,2,
Royal City,,,Nguyễn Trãi,Thượng Đình,Thanh Xuân,200,9.5,,,4,3
Mandarin Garden,,,Hoàng Minh Giám,Trung Hòa,Cầu Giấy,114,6.28,,,3,2
137,,,Nguyễn Ngọc Vũ,Trung Hòa,Cầu Giấy,77,2.95,,Đông - Nam,2,2
Royal City,,,Nguyễn Trãi,Thượng Đình,Thanh Xuân,190,8.9,,Đông - Nam,,
The Matrix One,,,Lê Quang Đạo,Mễ Trì,Nam Từ Liêm,110,6.3,,,3,
An Lạc Green Symphony,,,,Vân Canh,Hoài Đức,67,2.5,,,2,2
Vinhomes Nguyễn Chí Thanh,,,Nguyễn Chí Thanh,Láng Hạ,Đống Đa,86,5.5,,,2,2
The Tonkin - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,66,3,,,,
Masteri West Heights,,,,Tây Mỗ,Nam Từ Liêm,59,2.78,Đông - Bắc,Tây - Nam,2,2
,,,Trần Thái Tông,Dịch Vọng,Cầu Giấy,110,4.25,Đông - Nam,Tây - Bắc,3,2
KĐT Văn Quán,,,,Phúc La,Hà Đông,91,3,,,,
Sky City Towers-88 Láng Hạ,,,Láng Hạ,Láng Hạ,Đống Đa,139,6.81,,,3,3
Sông Đà Hà Đông Tower,,,Trần Phú,Văn Quán,Hà Đông,130,3.65,,,3,2
The Matrix One,,,Lê Quang Đạo,Mễ Trì,Nam Từ Liêm,114,6.8,,,3,
D’. Le Roi Soleil ,,,Xuân Diệu,Quảng An,Tây Hồ,146,11.5,,,3,2
107,,,Nguyễn Chí Thanh,Láng Hạ,Đống Đa,105,3.9,Đông - Bắc,Đông - Nam,2,2
D’. Le Roi Soleil ,,,Xuân Diệu,Quảng An,Tây Hồ,146,9.5,,,3,2
Ecolife Capitol,,,Tố Hữu,Trung Văn,Nam Từ Liêm,103,4,Đông - Bắc,Tây - Nam,3,2
CT36 - Dream Home,,,Nguyễn Cảnh Dị,Định Công,Hoàng Mai,105,3.6,Tây - Nam,Đông - Bắc,3,2
Mỹ Đình II,,,Nguyễn Cơ Thạch,Mỹ Đình 2,Nam Từ Liêm,111,3.8,,,3,2
Vinhomes Gardenia,,,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,120,6.2,,,3,2
ĐTM Dịch Vọng,,,,Dịch Vọng,Cầu Giấy,92,3.7,,,2,2
The Matrix One,,,Lê Quang Đạo,Mễ Trì,Nam Từ Liêm,112,5.5,Tây - Nam,Đông - Bắc,3,
Tây Hồ Residence,68A,,Võ Chí Công,Xuân La,Tây Hồ,70,2.95,,,2,2
Chung cư Viện 103,,,Yên Xá,Tân Triều,Thanh Trì,80,2.24,,Đông - Nam,2,2
Chung cư 789 Xuân Đỉnh,,,,Xuân Đỉnh,Bắc Từ Liêm,75,3.1,,,2,2
GoldSeason,,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,105,5.4,Tây - Nam,Đông - Bắc,3,2
,,,Trần Quý Kiên,Dịch Vọng,Cầu Giấy,60,2.2,,,2,1
GoldSeason,,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,80,4,,,,
89 Phùng Hưng,,,Phùng Hưng,Phúc La,Hà Đông,96,2.55,,,3,2
Vườn Đào,689,,Lạc Long Quân,Phú Thượng,Tây Hồ,126,4.2,,,3,2
,,,Trần Quý Kiên,Dịch Vọng,Cầu Giấy,80,2.55,,,2,2
Đặng Xá 1,,,,Đặng Xá,Gia Lâm,60,1.1,,,2,1
Ngô Thì Nhậm,,,Ngô Thì Nhậm,Hà Cầu,Hà Đông,81,2.5,Tây - Bắc,Đông - Nam,2,2
Newtatco Vĩnh Phúc,,,Vĩnh Phúc,Vĩnh Phúc,Ba Đình,70,3.1,,Đông,2,2
B.I.G Tower,18,,Phạm Hùng,Mỹ Đình 2,Nam Từ Liêm,105,5.3,,,3,3
Phú Thịnh Green Park,,,Tô Hiệu,Hà Cầu,Hà Đông,83.1,2.9,,Đông - Bắc,2,2
Ngõ 77,,,Xuân La,Xuân La,Tây Hồ,35,0.8,,,1,1
Ngô Thì Nhậm,,,Ngô Thì Nhậm,Hà Cầu,Hà Đông,81,2.6,Tây - Bắc,Đông - Nam,2,2
The Tonkin - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,71,3.1,,,2,2
Sudico Mỹ Đình,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,90,2.9,Nam,Bắc,2,2
Masteri West Heights,,,,Tây Mỗ,Nam Từ Liêm,45.9,3.227,,,1,1
HPC Landmark 105,,,,La Khê,Hà Đông,112,3.3,Đông - Nam,Đông - Bắc,3,2
An Bình City,232,,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,85,3.6,,,3,2
D’. Le Roi Soleil ,,,Xuân Diệu,Quảng An,Tây Hồ,88,5.4,,,2,2
Vinhomes D'Capitale,,,Trần Duy Hưng,Trung Hòa,Cầu Giấy,100,6.9,,,3,2
The Terra An Hưng,,,,Dương Nội,Hà Đông,140,5.5,Đông - Nam,Tây - Bắc,4,3
Vinhomes Gardenia,,,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,79,3.2,Tây - Bắc,Đông - Nam,2,2
D’. Le Roi Soleil ,,,Xuân Diệu,Quảng An,Tây Hồ,111,6.8,,,,
Hoàng Thành Pearl,,,Nguyễn Văn Giáp,Cầu Diễn,Nam Từ Liêm,79.08,3.915,,,2,2
Nhà ở cho CBCS Bộ Công an,,,Phạm Văn Đồng,Cổ Nhuế 2,Bắc Từ Liêm,70,2.45,,,2,2
D’. Le Roi Soleil ,,,Xuân Diệu,Quảng An,Tây Hồ,111,7.9,Đông - Nam,Tây - Bắc,3,3
D’. Le Roi Soleil - Quảng An,59,,Xuân Diệu,Quảng An,Tây Hồ,345,34,,Đông - Nam,4,3
Thống Nhất Complex,82,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,88,4.5,,,3,2
D’. Le Roi Soleil ,,,Xuân Diệu,Quảng An,Tây Hồ,146,9.7,Tây - Bắc,Đông - Nam,,
Sun Grand City,,,Thụy Khuê,Thụy Khuê,Tây Hồ,230,24,,Đông - Bắc,,
Mon City - Hải Đăng City,,,Hàm Nghi,Mỹ Đình 2,Nam Từ Liêm,67,2.7,,,2,
Mon City - Hải Đăng City,,,Hàm Nghi,Mỹ Đình 2,Nam Từ Liêm,61.5,2.45,,,3,
Vinhomes Symphony Riverside,,,,Việt Hưng,Long Biên,68,3,,,,
Thăng Long Number One,,,,Trung Hòa,Cầu Giấy,130,5.5,Tây - Nam,Đông - Bắc,4,3
FLC Complex Phạm Hùng,,,Phạm Hùng,Mỹ Đình 2,Nam Từ Liêm,131,4.85,Tây - Bắc,Đông - Nam,3,2
Grand Sunlake,,,Trần Phú,Văn Quán,Hà Đông,99.4,4.1,,,,
Mipec Rubik 360,,,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,73.5,3.31,,Đông,2,2
Vinhomes Skylake,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,197.9,22,Tây - Bắc,Đông - Nam,4,4
ĐTM Dịch Vọng,,,Thành Thái,Dịch Vọng,Cầu Giấy,175,6.3,,,3,
,,,Vĩnh Phúc,Vĩnh Phúc,Ba Đình,50,1.75,,Bắc,1,
,,,Đặng Dung,Quán Thánh,Ba Đình,80,2.2,,,,
KĐT Trung Văn - Vinaconex 3,,,Tố Hữu,Trung Văn,Nam Từ Liêm,79,2.6,Tây - Nam,Đông - Bắc,2,2
Times City - Park Hill,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,66,3.5,Tây,Nam,2,2
Green Diamond 93 Láng Hạ,,,Láng Hạ,Láng Hạ,Đống Đa,144.66,11,Đông - Bắc,Tây - Bắc,4,2
Park Hill Premium - Times City,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,130,9,Đông,Tây - Nam,4,3
Khu đô thị Nam Thăng Long - Ciputra,,,,,Tây Hồ,154,8.4,Tây - Bắc,Đông - Nam,3,2
Park Hill Premium - Times City,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,76,4.4,Nam,Bắc,2,2
Goldmark City,,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,129,4.8,Đông - Bắc,Tây - Nam,3,
Vinhomes Gardenia,,,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,92,4.8,,,3,2
Xuân Mai Complex,,,Tố Hữu,Yên Nghĩa,Hà Đông,62.49,1.7,,,2,2
Goldmark City,136,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,113,4.35,Tây - Nam,Đông - Bắc,3,
,,,Vĩnh Phúc,Vĩnh Phúc,Ba Đình,70,2.1,Đông - Nam,Đông - Bắc,3,1
Vinhomes Skylake,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,102,8.5,,,3,
Vinhomes Gardenia,,,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,124,6.8,,,4,2
Vinhomes Metropolis - Liễu Giai,29,,Liễu Giai,Ngọc Khánh,Ba Đình,55,3.9,,,1,
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,70,1.9,,,2,2
Green Diamond 93 Láng Hạ,,,Láng Hạ,Láng Hạ,Đống Đa,138,11,Đông - Nam,Tây - Bắc,3,2
Golden Palace,,,Mễ Trì,Mễ Trì,Nam Từ Liêm,85,2.8,,,2,2
The Terra An Hưng,,,,Dương Nội,Hà Đông,140,5.1,,Đông - Nam,4,3
Vinhomes Gardenia,,,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,76,3.4,,,2,2
Royal City,72,,Nguyễn Trãi,Thượng Đình,Thanh Xuân,55,2.75,,,1,1
Thăng Long Number One,,,Phạm Hùng,Trung Hòa,Cầu Giấy,117,3.8,,,3,2
Vinhomes Skylake,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,178,22,,,,
Vinhomes Skylake,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,87,6.6,,,3,2
Trung Hòa Nhân Chính,,,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,121,4.8,Đông - Nam,Đông - Bắc,3,2
,,,Trần Quý Cáp,Quốc Tử Giám,Đống Đa,35,0.59,,,1,1
Mailand Hanoi City,,,Đại lộ Thăng Long,An Khánh,Hoài Đức,150,4.35,,,3,
,,,Mai Dịch,Mai Dịch,Cầu Giấy,66,1.5,,,2,1
Sun Grand City,69B,,Thụy Khuê,Thụy Khuê,Tây Hồ,170,14,,,2,3
Hòa Bình Green Apartment,376,,Bưởi,Vĩnh Phúc,Ba Đình,90,3.85,,,2,
Rose Town,,,Ngọc Hồi,Hoàng Liệt,Hoàng Mai,70.7,1.8,Tây - Bắc,Đông - Nam,2,2
Tecco Garden,,,Tứ Hiệp,Tứ Hiệp,Thanh Trì,106,2.9,Tây - Bắc,Đông - Bắc,3,2
Vinhomes Gardenia,,,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,110,5,Đông - Nam,Tây - Bắc,2,3
Vinhomes Skylake,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,90,7,,,,
Hà Nội Melody Residences,,,Bằng Liệt,Hoàng Liệt,Hoàng Mai,74,2.261,Tây - Bắc,Đông - Nam,2,2
Lancaster Hà Nội,20,,Núi Trúc,Giảng Võ,Ba Đình,135,9.8,,,3,
Golden Field Mỹ Đình,24,,Nguyễn Cơ Thạch,Cầu Diễn,Nam Từ Liêm,66,2.68,,,2,
Vinhomes Skylake,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,400,45,Tây - Nam,Đông - Bắc,6,6
,,,Mai Dịch,Mai Dịch,Cầu Giấy,68,1.5,Đông - Bắc,Tây - Nam,2,1
Đặng Xá 1,,,,Đặng Xá,Gia Lâm,60,1.1,,,2,2
GoldSeason,47,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,70,2.6,Tây - Bắc,Đông - Nam,2,2
FLC Garden City,,,70,Đại Mỗ,Nam Từ Liêm,66,2.08,Tây - Nam,Đông - Bắc,2,2
The Tonkin - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,72,3.3,,,3,2
Hateco Laroma,4A,,Huỳnh Thúc Kháng,Láng Thượng,Đống Đa,110.48,10.5,,,,
Xuân Mai Riverside,,,Thanh Bình,Mỗ Lao,Hà Đông,70,2.35,Tây - Nam,Đông - Bắc,2,2
The Tonkin - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,65,3,,,,
Capital Garden 102 Trường Chinh Kinh Đô,102,,Trường Chinh,Phương Mai,Đống Đa,102,4.08,,,2,
The Sakura - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,81,3.35,,,3,2
Discovery Complex,302,,Cầu Giấy,Dịch Vọng,Cầu Giấy,148.8,7.1,,,3,2
Discovery Complex,302,,Cầu Giấy,Dịch Vọng,Cầu Giấy,210,10,Tây - Bắc,Đông - Nam,4,3
93 Lò Đúc - Kinh Đô Tower,,,Lò Đúc,Phạm Đình Hổ,Hai Bà Trưng,116,5.22,Bắc,Nam,3,2
Discovery Central,,,Trần Phú,Điện Biên,Ba Đình,52,3.6,Tây - Bắc,Đông - Nam,,
Discovery Complex,302,,Cầu Giấy,Dịch Vọng,Cầu Giấy,148.6,7.3,Đông - Nam,Tây - Bắc,3,2
Discovery Complex,302,,Cầu Giấy,Dịch Vọng,Cầu Giấy,101.6,4.7,Tây - Bắc,Đông - Nam,3,2
Hateco Apollo,,,70,Phương Canh,Nam Từ Liêm,62,1.9,,,2,2
Eco Green City,286,,Nguyễn Xiển,Tân Triều,Thanh Trì,106,3.4,Tây - Bắc,Đông - Nam,3,2
Hà Nội Center Point,27,,Lê Văn Lương,Nhân Chính,Thanh Xuân,85,4.2,,,3,
Star Tower 283 Khương Trung,,,Khương Trung,Khương Trung,Thanh Xuân,90,3,,,,
Chelsea Park,116,,Trung Kính,Yên Hòa,Cầu Giấy,128,5,,,3,2
The K Park,,,Lê Trọng Tấn,Phúc La,Hà Đông,68,2.3,Đông - Bắc,Tây - Nam,2,2
Chung cư Viện 103,,,Yên Xá,Tân Triều,Thanh Trì,112,2.6,Đông - Nam,Đông - Bắc,3,2
FLC Complex Phạm Hùng,,,Phạm Hùng,Mỹ Đình 2,Nam Từ Liêm,131,4.72,,,3,2
The Pride,,,Tố Hữu,La Khê,Hà Đông,73,2,,,,
The Garden Hills - 99 Trần Bình,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,60,2.6,Tây - Nam,Đông - Bắc,2,2
The Emerald,,,Đình Thôn,Mỹ Đình 1,Nam Từ Liêm,86,3.6,,,2,2
Imperia Garden,203,,Nguyễn Huy Tưởng,Thanh Xuân Trung,Thanh Xuân,91,4.4,,,3,2
The Emerald,,,Đình Thôn,Mỹ Đình 1,Nam Từ Liêm,85,3.8,,,3,2
Anland Premium,,,Tố Hữu,La Khê,Hà Đông,75,2.68,Đông - Nam,Tây - Bắc,2,2
Florence Mỹ Đình,,,Trần Hữu Dực,Cầu Diễn,Nam Từ Liêm,77.2,2.9,,,2,2
Goldmark City,136,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,78,2.6,Đông - Nam,Tây - Bắc,2,2
Eco Dream,,,,Tân Triều,Thanh Trì,86,3,,,,
Anland LakeView,,,Ngô Thì Nhậm,Dương Nội,Hà Đông,74,2.9,Đông - Nam,Tây - Bắc,2,2
Xuân Mai Riverside,,,Thanh Bình,Mỗ Lao,Hà Đông,67,2.2,Tây - Nam,Đông - Bắc,2,2
Trung Hòa Nhân Chính,,,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,125,4.5,,,3,2
Phú Thịnh Green Park,,,Tô Hiệu,Hà Cầu,Hà Đông,66.4,2.4,Đông - Bắc,Tây - Nam,2,2
Moonlight 1 - An Lạc Green Symphony,,,,An Khánh,Hoài Đức,93,3.9,Đông - Bắc,Đông - Nam,3,2
Booyoung,,,,Mỗ Lao,Hà Đông,88,3.3,Đông - Nam,Tây - Bắc,3,2
GoldSeason,47,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,180,8.5,Tây - Bắc,Đông - Nam,4,4
BID Residence,104,,Tố Hữu,La Khê,Hà Đông,82,1.96,Đông - Nam,,4,3
Hồ Gươm Plaza,,,Trần Phú,Mỗ Lao,Hà Đông,76,2.8,Đông - Nam,Tây - Nam,2,2
Eco Green City,286,,Nguyễn Xiển,Tân Triều,Thanh Trì,73,2.25,,,2,2
Dolphin Plaza,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,144,4.32,,Nam,,
Anland LakeView,,,Ngô Thì Nhậm,Dương Nội,Hà Đông,97,3.3,Tây - Bắc,Đông - Nam,3,2
Imperia Garden,203,,Nguyễn Huy Tưởng,Thanh Xuân Trung,Thanh Xuân,75,3.5,,,2,2
